case	barcode_normal	barcode_tumor	uuid_normal	uuid_tumor	chr1:111755648_normal	chr1:111755648_tumor	chr1:120973520_normal	chr1:120973520_tumor	chr1:125167749_normal	chr1:125167749_tumor	chr1:125167927_normal	chr1:125167927_tumor	chr1:143184833_normal	chr1:143184833_tumor	chr1:143191791_normal	chr1:143191791_tumor	chr1:143213623_normal	chr1:143213623_tumor	chr1:143217536_normal	chr1:143217536_tumor	chr1:143218105_normal	chr1:143218105_tumor	chr1:185156770_normal	chr1:185156770_tumor	chr10:41909522_normal	chr10:41909522_tumor	chr10:41910866_normal	chr10:41910866_tumor	chr10:42067190_normal	chr10:42067190_tumor	chr10:73969_normal	chr10:73969_tumor	chr14:75794999_normal	chr14:75794999_tumor	chr16:34582307_normal	chr16:34582307_tumor	chr16:34583579_normal	chr16:34583579_tumor	chr16:68738315_normal	chr16:68738315_tumor	chr17:59381297_normal	chr17:59381297_tumor	chr20:29080591_normal	chr20:29080591_tumor	chr20:29080600_normal	chr20:29080600_tumor	chr20:31661448_normal	chr20:31661448_tumor	chr20:34526476_normal	chr20:34526476_tumor	chr21:32413109_normal	chr21:32413109_tumor	chr3:47586910_normal	chr3:47586910_tumor	chr3:75669082_normal	chr3:75669082_tumor	chr3:75669400_normal	chr3:75669400_tumor	chr5:40681256_normal	chr5:40681256_tumor	chr5:49657236_normal	chr5:49657236_tumor	chr5:49657316_normal	chr5:49657316_tumor	chr5:49658235_normal	chr5:49658235_tumor	chr5:49660983_normal	chr5:49660983_tumor	chr8:102395112_normal	chr8:102395112_tumor	chr8:127891443_normal	chr8:127891443_tumor	chr8:128267540_normal	chr8:128267540_tumor	chr8:13132891_normal	chr8:13132891_tumor	chr9:135751043_normal	chr9:135751043_tumor
TCGA-D8-A1XS	TCGA-D8-A1XS-10A	TCGA-D8-A1XS-01A	cb16101d-5a4d-4022-976c-14f463dbbbd8	4262e57c-0869-42e9-a958-f0e88d1ee946	9	10.0	0.0	1.0	31.0	67.0	94.0	136.0	148.0	214.0	40.0	26.0	52.0	108.0	752.0	1103.0	370.0	471.0	2.0	8.0	15.0	32.0	75.0	125.0	57.0	68.0	0.0	3.0	1.0	1.0	563.0	771.0	362.0	551.0	30.0	12.0	1.0	2.0	1.0	5.0	2.0	6.0	0.0	3.0	3.0	9	10.0	13.0	2.0	1.0	29.0	39.0	29.0	27.0	23	30	117.0	164.0	84.0	115.0	96.0	144.0	183.0	263.0	1.0	5.0	3.0	4.0	2.0	5.0	17.0	9.0	31.0	23
TCGA-BH-A203	TCGA-BH-A203-11A	TCGA-BH-A203-01A	f08939ed-a218-4688-b419-a91333d0267b	55a9b84d-ca9f-402c-8d93-15aef2fde988	10	9.0	1.0	0.0	72.0	59.0	118.0	92.0	206.0	169.0	63.0	75.0	63.0	66.0	1349.0	1012.0	664.0	399.0	7.0	5.0	35.0	42.0	145.0	169.0	87.0	43.0	3.0	3.0	1.0	1.0	886.0	564.0	665.0	437.0	21.0	17.0	2.0	3.0	4.0	3.0	1.0	3.0	3.0	3.0	5.0	8	12.0	7.0	2.0	0.0	54.0	31.0	24.0	23.0	23	23	213.0	114.0	150.0	71.0	175.0	112.0	303.0	190.0	1.0	2.0	3.0	2.0	1.0	0.0	10.0	6.0	30.0	15
TCGA-PE-A5DC	TCGA-PE-A5DC-10A	TCGA-PE-A5DC-01A	bea5a1e9-060b-43dc-9256-ccf09f56f575	a15e52e4-15f3-4d6d-ba63-f1d2e773e16d	7	15.0	139.0	148.0	1.0	2.0	4.0	7.0	9.0	11.0	1.0	1.0	5.0	9.0	60.0	65.0	22.0	34.0	7.0	5.0	0.0	1.0	7.0	8.0	4.0	5.0	13.0	17.0	1.0	0.0	63.0	95.0	46.0	55.0	81.0	49.0	0.0	2.0	33.0	44.0	31.0	38.0	0.0	1.0	6.0	8	15.0	15.0	27.0	23.0	14.0	21.0	11.0	6.0	20	24	4.0	8.0	7.0	4.0	5.0	5.0	10.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0	27.0	25.0	51.0	50
TCGA-A2-A3XT	TCGA-A2-A3XT-10A	TCGA-A2-A3XT-01A	21393945-608a-453a-81d9-7a1c8029da7e	8b62d2ca-03ad-4cab-af3a-653563abe3f3	15	8.0	152.0	188.0	6.0	3.0	18.0	28.0	33.0	40.0	0.0	0.0	12.0	28.0	117.0	178.0	42.0	62.0	7.0	10.0	3.0	3.0	8.0	11.0	10.0	8.0	32.0	26.0	1.0	0.0	183.0	172.0	113.0	109.0	104.0	81.0	0.0	0.0	53.0	55.0	46.0	45.0	2.0	1.0	6.0	5	8.0	21.0	33.0	27.0	19.0	14.0	14.0	5.0	27	34	20.0	26.0	15.0	27.0	18.0	23.0	43.0	44.0	0.0	2.0	3.0	3.0	0.0	0.0	40.0	27.0	78.0	65
TCGA-A7-A26I	TCGA-A7-A26I-10A	TCGA-A7-A26I-01B	1d04c4a9-6100-42c3-850a-cc926b412875	63633780-b7a2-4b42-81bc-ced978ec31db	10	16.0	0.0	131.0	40.0	7.0	84.0	11.0	69.0	6.0	30.0	1.0	47.0	7.0	509.0	60.0	198.0	39.0	3.0	3.0	23.0	9.0	110.0	13.0	29.0	6.0	1.0	7.0	5.0	0.0	848.0	110.0	616.0	81.0	12.0	42.0	0.0	0.0	1.0	12.0	1.0	10.0	0.0	0.0	3.0	8	9.0	8.0	0.0	11.0	38.0	7.0	26.0	1.0	20	33	182.0	23.0	128.0	20.0	146.0	18.0	252.0	9.0	0.0	0.0	1.0	1.0	0.0	0.0	6.0	27.0	30.0	28
TCGA-GM-A5PX	TCGA-GM-A5PX-10A	TCGA-GM-A5PX-01A	cd964bf5-9bfa-4460-afad-888cc95c13b6	2f35596a-5c5c-429f-8fd9-1b84cbab536f	25	15.0	208.0	273.0	2.0	12.0	14.0	31.0	22.0	40.0	1.0	6.0	12.0	20.0	149.0	409.0	68.0	191.0	4.0	5.0	4.0	11.0	8.0	27.0	5.0	28.0	9.0	14.0	2.0	1.0	66.0	151.0	54.0	113.0	113.0	75.0	2.0	1.0	26.0	44.0	22.0	36.0	0.0	2.0	6.0	5	15.0	16.0	34.0	29.0	11.0	24.0	8.0	9.0	35	28	6.0	27.0	6.0	16.0	2.0	21.0	16.0	34.0	0.0	0.0	1.0	1.0	0.0	0.0	41.0	46.0	99.0	79
TCGA-A2-A1FV	TCGA-A2-A1FV-10A	TCGA-A2-A1FV-01A	a0b11db8-f946-4942-b111-96c58a9aec44	d697fcc4-a3a3-496d-9d54-9ef13fcec3d9	4	7.0	2.0	0.0	62.0	64.0	114.0	139.0	129.0	176.0	26.0	35.0	40.0	56.0	1226.0	1737.0	554.0	722.0	4.0	4.0	21.0	34.0	66.0	83.0	29.0	24.0	1.0	2.0	1.0	0.0	452.0	271.0	350.0	213.0	13.0	12.0	1.0	2.0	3.0	4.0	2.0	4.0	2.0	3.0	8.0	6	8.0	3.0	1.0	1.0	22.0	38.0	13.0	17.0	23	25	72.0	107.0	52.0	63.0	66.0	95.0	172.0	164.0	0.0	2.0	0.0	4.0	2.0	2.0	5.0	11.0	19.0	44
TCGA-A7-A0DB	TCGA-A7-A0DB-10A	TCGA-A7-A0DB-01A	4ed65d46-cefa-4759-94ef-f0bd22ccb93d	4bd19530-622c-4368-af26-29db28bc39ef	16	15.0	125.0	151.0	2.0	2.0	9.0	10.0	3.0	12.0	0.0	0.0	5.0	5.0	65.0	76.0	27.0	36.0	6.0	7.0	1.0	1.0	4.0	7.0	6.0	2.0	9.0	11.0	0.0	0.0	44.0	36.0	20.0	25.0	109.0	60.0	0.0	0.0	14.0	42.0	11.0	39.0	0.0	0.0	5.0	4	15.0	14.0	32.0	39.0	10.0	21.0	3.0	10.0	33	33	1.0	8.0	2.0	6.0	2.0	4.0	5.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	46.0	24.0	93.0	76
TCGA-A7-A0DB	TCGA-A7-A0DB-10A	TCGA-A7-A0DB-01A	b8e3cc00-0289-4d48-81ed-256abbe4bf4b	4bd19530-622c-4368-af26-29db28bc39ef	3	15.0	0.0	151.0	0.0	2.0	0.0	10.0	1.0	12.0	0.0	0.0	0.0	5.0	8.0	76.0	12.0	36.0	8.0	7.0	0.0	1.0	1.0	7.0	0.0	2.0	0.0	11.0	0.0	0.0	7.0	36.0	7.0	25.0	0.0	60.0	0.0	0.0	0.0	42.0	2.0	39.0	1.0	0.0	9.0	4	0.0	14.0	0.0	39.0	227.0	21.0	92.0	10.0	42	33	5.0	8.0	4.0	6.0	1.0	4.0	4.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	24.0	3.0	76
TCGA-A7-A0DB	TCGA-A7-A0DB-11A	TCGA-A7-A0DB-01A	91081819-79c8-4de6-bfdb-742df760c08b	4bd19530-622c-4368-af26-29db28bc39ef	2	15.0	1.0	151.0	3.0	2.0	5.0	10.0	4.0	12.0	0.0	0.0	4.0	5.0	43.0	76.0	21.0	36.0	6.0	7.0	2.0	1.0	10.0	7.0	3.0	2.0	1.0	11.0	3.0	0.0	34.0	36.0	17.0	25.0	0.0	60.0	2.0	0.0	16.0	42.0	15.0	39.0	2.0	0.0	12.0	4	0.0	14.0	0.0	39.0	387.0	21.0	132.0	10.0	114	33	15.0	8.0	15.0	6.0	15.0	4.0	11.0	10.0	5.0	1.0	1.0	0.0	5.0	0.0	1.0	24.0	3.0	76
TCGA-S3-AA11	TCGA-S3-AA11-10B	TCGA-S3-AA11-01A	ace42e62-f72f-4ba0-a3f3-8c21fde54d74	5470b683-4e5f-4c1c-9991-b2157434feaf	10	10.0	189.0	228.0	0.0	3.0	7.0	3.0	1.0	8.0	0.0	1.0	2.0	3.0	15.0	21.0	5.0	7.0	5.0	5.0	1.0	1.0	4.0	1.0	1.0	3.0	15.0	11.0	0.0	0.0	49.0	52.0	19.0	33.0	87.0	97.0	0.0	0.0	16.0	14.0	14.0	11.0	0.0	0.0	4.0	13	15.0	15.0	33.0	25.0	8.0	3.0	1.0	4.0	26	27	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	24.0	44.0	27
TCGA-A7-A26J	TCGA-A7-A26J-10A	TCGA-A7-A26J-01A	5dbef006-4110-4a6d-8548-55cff2a2e4e0	95764010-5faa-4ac6-b0e4-5f9d909a6bd5	17	17.0	276.0	475.0	2.0	2.0	12.0	15.0	6.0	11.0	1.0	3.0	2.0	3.0	89.0	109.0	31.0	41.0	4.0	15.0	3.0	1.0	9.0	2.0	2.0	0.0	15.0	26.0	1.0	1.0	70.0	26.0	37.0	23.0	120.0	136.0	0.0	0.0	39.0	140.0	37.0	118.0	1.0	0.0	5.0	11	20.0	33.0	29.0	60.0	24.0	40.0	9.0	30.0	34	103	7.0	4.0	7.0	1.0	2.0	6.0	9.0	15.0	0.0	0.0	0.0	0.0	0.0	1.0	44.0	59.0	89.0	136
TCGA-A7-A26J	TCGA-A7-A26J-10A	TCGA-A7-A26J-01A	a8dedccc-22c2-4155-b02d-778770e0b714	95764010-5faa-4ac6-b0e4-5f9d909a6bd5	8	17.0	1.0	475.0	53.0	2.0	118.0	15.0	145.0	11.0	15.0	3.0	53.0	3.0	1169.0	109.0	497.0	41.0	1.0	15.0	16.0	1.0	91.0	2.0	56.0	0.0	3.0	26.0	2.0	1.0	1039.0	26.0	640.0	23.0	15.0	136.0	0.0	0.0	0.0	140.0	0.0	118.0	0.0	0.0	2.0	11	12.0	33.0	0.0	60.0	26.0	40.0	17.0	30.0	19	103	122.0	4.0	87.0	1.0	86.0	6.0	168.0	15.0	1.0	0.0	1.0	0.0	4.0	1.0	7.0	59.0	21.0	136
TCGA-GM-A5PV	TCGA-GM-A5PV-10A	TCGA-GM-A5PV-01A	a281d38a-e9fc-4aae-abda-165a06e2dcfb	4d763c0c-a011-4319-ba74-0f737d87acaf	8	20.0	130.0	209.0	6.0	8.0	6.0	17.0	11.0	28.0	2.0	1.0	5.0	14.0	81.0	212.0	22.0	92.0	2.0	4.0	3.0	7.0	12.0	21.0	7.0	15.0	9.0	11.0	1.0	0.0	49.0	111.0	47.0	76.0	62.0	56.0	0.0	1.0	23.0	40.0	20.0	36.0	0.0	2.0	2.0	6	8.0	13.0	28.0	24.0	10.0	14.0	3.0	6.0	22	24	17.0	38.0	11.0	34.0	8.0	24.0	24.0	40.0	0.0	0.0	1.0	1.0	0.0	0.0	28.0	35.0	57.0	69
TCGA-A2-A4RY	TCGA-A2-A4RY-10A	TCGA-A2-A4RY-01A	02e87d24-2a51-4b0e-8be6-87fef058814d	17094bf1-e0c7-436c-934f-850c1c3d4137	32	22.0	194.0	182.0	7.0	178.0	29.0	632.0	36.0	699.0	9.0	106.0	11.0	315.0	181.0	5456.0	79.0	2464.0	6.0	10.0	3.0	131.0	10.0	378.0	21.0	505.0	18.0	33.0	4.0	10.0	177.0	3662.0	96.0	2741.0	130.0	89.0	0.0	7.0	16.0	43.0	14.0	45.0	0.0	8.0	5.0	8	14.0	18.0	41.0	34.0	18.0	166.0	5.0	83.0	33	44	5.0	400.0	6.0	315.0	4.0	312.0	5.0	837.0	1.0	9.0	2.0	3.0	1.0	4.0	60.0	74.0	91.0	65
TCGA-OL-A66J	TCGA-OL-A66J-10A	TCGA-OL-A66J-01A	5b5397d4-1dcb-4903-8dfe-047a7c4d3043	3a27853e-8d88-4261-9171-c9b147c3cd32	18	11.0	225.0	176.0	9.0	31.0	11.0	93.0	13.0	139.0	5.0	19.0	2.0	40.0	73.0	678.0	31.0	321.0	6.0	2.0	0.0	25.0	6.0	103.0	6.0	65.0	19.0	8.0	0.0	2.0	90.0	834.0	85.0	564.0	142.0	56.0	0.0	0.0	56.0	45.0	48.0	41.0	0.0	3.0	8.0	11	29.0	10.0	37.0	29.0	25.0	33.0	12.0	17.0	51	25	10.0	89.0	13.0	77.0	12.0	109.0	17.0	161.0	0.0	0.0	1.0	0.0	1.0	1.0	56.0	24.0	102.0	49
TCGA-UU-A93S	TCGA-UU-A93S-10A	TCGA-UU-A93S-01A	9c53af06-0ad7-46ff-a8c7-5fa39bbb1ec6	b2d3959c-8498-48da-bb56-384fc0b73943	9	8.0	201.0	221.0	7.0	3.0	20.0	11.0	50.0	17.0	3.0	0.0	17.0	7.0	104.0	51.0	83.0	38.0	4.0	7.0	2.0	0.0	13.0	3.0	12.0	0.0	23.0	3.0	0.0	0.0	172.0	32.0	85.0	16.0	66.0	84.0	0.0	0.0	8.0	17.0	7.0	17.0	1.0	0.0	7.0	5	11.0	15.0	26.0	15.0	8.0	8.0	4.0	6.0	15	25	11.0	2.0	4.0	3.0	4.0	2.0	12.0	4.0	0.0	1.0	0.0	0.0	1.0	0.0	20.0	9.0	23.0	37
TCGA-E9-A1NF	TCGA-E9-A1NF-10A	TCGA-E9-A1NF-01A	23becc61-09fe-44fe-b95f-7def40bea7cb	49c3707a-812c-454f-b235-b2f800307daa	21	3.0	2.0	0.0	273.0	54.0	706.0	110.0	868.0	187.0	93.0	18.0	397.0	54.0	5791.0	1181.0	2907.0	717.0	7.0	2.0	225.0	42.0	587.0	75.0	517.0	67.0	4.0	0.0	11.0	3.0	6096.0	1088.0	4820.0	812.0	15.0	9.0	11.0	3.0	10.0	16.0	9.0	11.0	4.0	2.0	7.0	9	14.0	5.0	2.0	1.0	116.0	25.0	59.0	7.0	29	19	889.0	104.0	730.0	74.0	835.0	72.0	1484.0	174.0	6.0	2.0	6.0	1.0	6.0	0.0	15.0	3.0	44.0	15
TCGA-BH-A6R8	TCGA-BH-A6R8-10A	TCGA-BH-A6R8-01A	a158093e-274b-4251-9e26-76d6a66a10ad	5b58dbe7-8216-4944-a6ca-683f04b7ff5d	12	8.0	125.0	212.0	1.0	1.0	2.0	3.0	4.0	7.0	0.0	0.0	0.0	0.0	18.0	30.0	4.0	18.0	4.0	5.0	0.0	1.0	1.0	2.0	3.0	2.0	10.0	8.0	0.0	0.0	14.0	24.0	10.0	15.0	90.0	52.0	0.0	0.0	17.0	32.0	16.0	27.0	1.0	1.0	10.0	18	19.0	5.0	25.0	17.0	4.0	2.0	2.0	1.0	22	18	0.0	5.0	0.0	3.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	12.0	39.0	24
TCGA-D8-A1JC	TCGA-D8-A1JC-10A	TCGA-D8-A1JC-01A	df80679e-c4d3-487b-934c-fcc782e5d46e	c0fdeba8-3955-4bee-8af8-7b965dc12e75	9	5.0	1.0	1.0	46.0	74.0	112.0	151.0	96.0	147.0	23.0	20.0	39.0	65.0	699.0	1205.0	325.0	523.0	1.0	5.0	42.0	36.0	123.0	119.0	80.0	58.0	0.0	1.0	2.0	0.0	900.0	697.0	676.0	505.0	9.0	15.0	1.0	3.0	3.0	5.0	2.0	4.0	1.0	1.0	6.0	12	12.0	9.0	2.0	1.0	24.0	31.0	13.0	13.0	22	37	129.0	109.0	90.0	71.0	117.0	111.0	180.0	199.0	2.0	1.0	2.0	0.0	0.0	3.0	3.0	0.0	26.0	24
TCGA-AC-A3HN	TCGA-AC-A3HN-10A	TCGA-AC-A3HN-01A	617c5834-2f0a-4765-9ad8-1d25b853d9ae	84642640-8470-40d1-93ff-6abdd8552340	9	3.0	98.0	132.0	4.0	13.0	4.0	23.0	17.0	45.0	0.0	8.0	9.0	21.0	44.0	245.0	32.0	221.0	1.0	8.0	0.0	7.0	4.0	29.0	4.0	22.0	4.0	5.0	1.0	0.0	62.0	234.0	54.0	184.0	64.0	42.0	0.0	0.0	27.0	39.0	24.0	35.0	2.0	1.0	5.0	4	13.0	11.0	17.0	21.0	15.0	31.0	10.0	14.0	19	30	18.0	63.0	8.0	47.0	9.0	53.0	15.0	79.0	0.0	0.0	0.0	1.0	0.0	0.0	17.0	23.0	55.0	37
TCGA-AC-A3OD	TCGA-AC-A3OD-10A	TCGA-AC-A3OD-01A	fa9928e8-67f2-4cea-88da-a0e58e83103a	fb59ffdc-62ea-4f61-b182-cdf6d4059388	9	11.0	192.0	179.0	31.0	34.0	71.0	75.0	112.0	132.0	9.0	4.0	68.0	58.0	885.0	944.0	473.0	572.0	10.0	14.0	9.0	10.0	45.0	35.0	49.0	50.0	9.0	3.0	2.0	0.0	899.0	787.0	770.0	701.0	181.0	130.0	2.0	2.0	24.0	24.0	18.0	22.0	0.0	0.0	12.0	18	28.0	28.0	36.0	14.0	30.0	27.0	15.0	9.0	78	90	33.0	30.0	17.0	20.0	26.0	25.0	42.0	35.0	0.0	0.0	0.0	1.0	1.0	1.0	49.0	42.0	142.0	109
TCGA-EW-A1PA	TCGA-EW-A1PA-10A	TCGA-EW-A1PA-01A	03517b24-2abb-4a40-9e54-6e2a7ed1c74b	cad70921-463b-4b35-b26d-2c7a2dbd947f	3	4.0	0.0	0.0	28.0	32.0	48.0	39.0	68.0	66.0	33.0	39.0	17.0	18.0	317.0	342.0	180.0	210.0	4.0	7.0	28.0	17.0	82.0	82.0	47.0	53.0	2.0	2.0	1.0	0.0	478.0	587.0	385.0	392.0	18.0	17.0	1.0	1.0	7.0	2.0	8.0	2.0	1.0	3.0	2.0	6	3.0	11.0	2.0	1.0	10.0	20.0	13.0	10.0	23	18	75.0	67.0	50.0	39.0	60.0	61.0	107.0	108.0	1.0	3.0	3.0	0.0	1.0	1.0	6.0	4.0	21.0	21
TCGA-LL-A7SZ	TCGA-LL-A7SZ-10A	TCGA-LL-A7SZ-01A	379d3ea8-eacf-43a7-81ef-5de9c36c3b4a	c0b68cf0-d09e-48cf-bba4-0cc29fe4a7ca	10	5.0	162.0	144.0	8.0	1.0	20.0	2.0	55.0	13.0	3.0	0.0	23.0	4.0	316.0	35.0	196.0	24.0	1.0	2.0	4.0	0.0	15.0	1.0	29.0	2.0	17.0	8.0	0.0	1.0	286.0	38.0	213.0	27.0	108.0	49.0	0.0	0.0	22.0	23.0	22.0	21.0	0.0	0.0	12.0	18	12.0	9.0	28.0	19.0	9.0	5.0	6.0	2.0	33	34	28.0	3.0	15.0	2.0	17.0	2.0	30.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	17.0	21.0	32.0	21
TCGA-E2-A1IH	TCGA-E2-A1IH-10A	TCGA-E2-A1IH-01A	7844acff-47fc-4b6e-ae78-8859b82c05d3	8382af75-f69a-4620-8e74-2e7269c6d9b1	4	8.0	0.0	3.0	69.0	115.0	90.0	237.0	128.0	319.0	66.0	84.0	46.0	114.0	1022.0	1950.0	577.0	904.0	2.0	12.0	27.0	43.0	131.0	198.0	57.0	125.0	0.0	1.0	2.0	1.0	734.0	1218.0	595.0	688.0	1.0	14.0	4.0	2.0	2.0	9.0	1.0	6.0	0.0	4.0	7.0	10	1.0	6.0	0.0	0.0	40.0	46.0	3.0	35.0	46	47	108.0	189.0	105.0	167.0	99.0	153.0	206.0	399.0	6.0	1.0	1.0	4.0	0.0	1.0	0.0	5.0	2.0	57
TCGA-B6-A1KC	TCGA-B6-A1KC-10A	TCGA-B6-A1KC-01B	869fa644-2bb9-48a4-9c69-84d3decc89c5	05ba9b62-d496-408e-97fb-0dbdd84efedb	17	9.0	1.0	4.0	6.0	86.0	12.0	130.0	13.0	252.0	3.0	117.0	4.0	58.0	59.0	1310.0	25.0	763.0	1.0	1.0	2.0	51.0	10.0	159.0	5.0	112.0	1.0	0.0	3.0	2.0	106.0	1073.0	78.0	730.0	14.0	9.0	1.0	3.0	1.0	6.0	1.0	5.0	3.0	1.0	4.0	4	5.0	4.0	0.0	0.0	5.0	20.0	2.0	8.0	16	19	4.0	108.0	6.0	80.0	3.0	111.0	7.0	178.0	3.0	3.0	0.0	7.0	1.0	0.0	10.0	0.0	5.0	7
TCGA-B6-A401	TCGA-B6-A401-10A	TCGA-B6-A401-01A	9f62df8a-b5fd-4e58-b799-0c50e60375f6	2f5670af-9c15-4765-99a5-3d8ca1ce7635	17	8.0	217.0	229.0	2.0	5.0	14.0	18.0	31.0	39.0	0.0	1.0	15.0	24.0	124.0	156.0	47.0	85.0	2.0	4.0	7.0	5.0	26.0	17.0	6.0	4.0	11.0	8.0	1.0	1.0	178.0	145.0	113.0	110.0	111.0	78.0	0.0	0.0	35.0	27.0	29.0	21.0	1.0	0.0	5.0	7	16.0	18.0	28.0	33.0	14.0	20.0	9.0	4.0	44	27	24.0	25.0	13.0	11.0	14.0	10.0	34.0	23.0	0.0	0.0	0.0	2.0	1.0	2.0	44.0	26.0	90.0	74
TCGA-D8-A1JB	TCGA-D8-A1JB-10A	TCGA-D8-A1JB-01A	2f9647c5-585f-45d7-8c2c-516673529a3b	258fa2b1-180b-4fa2-9d1c-0bb9f545bccf	3	1.0	1.0	0.0	24.0	35.0	38.0	45.0	41.0	45.0	3.0	3.0	19.0	18.0	490.0	571.0	223.0	315.0	3.0	1.0	23.0	27.0	47.0	47.0	68.0	58.0	1.0	0.0	1.0	3.0	779.0	601.0	633.0	588.0	12.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	2.0	5.0	2	6.0	0.0	1.0	0.0	23.0	12.0	4.0	1.0	20	33	118.0	133.0	81.0	94.0	114.0	166.0	150.0	182.0	0.0	2.0	0.0	3.0	0.0	1.0	5.0	0.0	17.0	1
TCGA-3C-AAAU	TCGA-3C-AAAU-10A	TCGA-3C-AAAU-01A	a3ddb298-663a-42c1-9672-0693a0fd8128	c03fbaad-73d1-4f79-9468-b62af87664a9	12	6.0	344.0	234.0	2.0	1.0	7.0	6.0	11.0	5.0	0.0	0.0	7.0	2.0	57.0	20.0	22.0	9.0	5.0	9.0	0.0	2.0	2.0	1.0	8.0	4.0	11.0	9.0	1.0	1.0	55.0	36.0	34.0	18.0	94.0	73.0	0.0	0.0	16.0	14.0	15.0	13.0	0.0	0.0	12.0	9	17.0	21.0	42.0	29.0	5.0	2.0	4.0	0.0	27	14	3.0	2.0	3.0	0.0	3.0	5.0	4.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	17.0	46.0	24
TCGA-E9-A54Y	TCGA-E9-A54Y-10A	TCGA-E9-A54Y-01A	4688c781-990f-42d4-9dcf-9f82c04538b3	a4e8de29-dbdf-4ecb-9b25-5da6636a404b	14	10.0	187.0	179.0	14.0	8.0	16.0	15.0	6.0	18.0	2.0	0.0	7.0	13.0	103.0	98.0	46.0	26.0	7.0	8.0	4.0	1.0	17.0	7.0	6.0	4.0	17.0	14.0	0.0	0.0	202.0	126.0	163.0	75.0	111.0	37.0	1.0	2.0	40.0	37.0	34.0	33.0	0.0	0.0	4.0	7	13.0	17.0	32.0	27.0	25.0	12.0	10.0	18.0	41	22	24.0	24.0	25.0	16.0	30.0	14.0	63.0	48.0	2.0	2.0	2.0	5.0	0.0	0.0	40.0	20.0	48.0	38
TCGA-AC-A3QQ	TCGA-AC-A3QQ-10A	TCGA-AC-A3QQ-01B	28b6f81c-1bd4-4600-9219-7590bb167f30	c997e63b-017d-45f2-aab8-53b92bccf1a8	8	6.0	183.0	154.0	19.0	16.0	42.0	88.0	73.0	100.0	4.0	13.0	33.0	38.0	596.0	531.0	437.0	320.0	11.0	2.0	18.0	7.0	38.0	30.0	44.0	31.0	0.0	1.0	2.0	2.0	606.0	303.0	612.0	224.0	130.0	19.0	1.0	0.0	19.0	3.0	16.0	2.0	0.0	0.0	16.0	5	12.0	4.0	33.0	27.0	25.0	1.0	8.0	3.0	77	23	45.0	29.0	21.0	12.0	37.0	16.0	48.0	30.0	0.0	0.0	0.0	1.0	1.0	1.0	26.0	12.0	96.0	11
TCGA-AR-A2LM	TCGA-AR-A2LM-10A	TCGA-AR-A2LM-01A	33cb9167-c914-4311-a04a-024e97109029	e5027985-864e-44e2-b01a-c0fcb9c7f953	12	18.0	3.0	2.0	48.0	54.0	177.0	168.0	247.0	233.0	10.0	18.0	146.0	173.0	1521.0	1266.0	686.0	521.0	5.0	8.0	54.0	27.0	105.0	88.0	179.0	115.0	3.0	2.0	5.0	7.0	1415.0	876.0	1017.0	614.0	35.0	18.0	1.0	2.0	7.0	9.0	6.0	8.0	0.0	2.0	15.0	5	8.0	7.0	2.0	0.0	50.0	32.0	50.0	23.0	37	30	101.0	71.0	106.0	64.0	86.0	40.0	266.0	151.0	2.0	0.0	2.0	2.0	1.0	1.0	14.0	25.0	38.0	37
TCGA-E9-A2JS	TCGA-E9-A2JS-10A	TCGA-E9-A2JS-01A	6972cc34-1001-43ff-bfda-7e45a3eefa66	75c82b1d-0665-4cc4-ab37-0fcd829959eb	13	15.0	2.0	0.0	78.0	67.0	205.0	152.0	261.0	221.0	19.0	23.0	134.0	116.0	1602.0	1385.0	631.0	593.0	6.0	6.0	34.0	28.0	143.0	92.0	74.0	47.0	0.0	0.0	3.0	1.0	2019.0	1383.0	1345.0	976.0	29.0	11.0	0.0	2.0	3.0	7.0	3.0	3.0	1.0	1.0	5.0	9	13.0	7.0	1.0	1.0	36.0	31.0	28.0	19.0	14	38	205.0	142.0	164.0	118.0	158.0	139.0	374.0	240.0	4.0	1.0	2.0	5.0	1.0	0.0	12.0	6.0	47.0	38
TCGA-AC-A2QH	TCGA-AC-A2QH-10A	TCGA-AC-A2QH-01B	d9fedba6-1094-49d6-ac0b-6c358d8733c2	b9592f24-955d-4620-84ea-c2756a446f37	9	19.0	1.0	143.0	34.0	2.0	69.0	24.0	113.0	15.0	5.0	0.0	83.0	12.0	569.0	77.0	315.0	50.0	3.0	2.0	24.0	3.0	91.0	4.0	48.0	7.0	1.0	4.0	2.0	0.0	659.0	88.0	507.0	63.0	21.0	52.0	2.0	1.0	5.0	11.0	5.0	5.0	0.0	0.0	6.0	7	12.0	9.0	1.0	16.0	35.0	7.0	23.0	6.0	36	21	75.0	9.0	72.0	8.0	66.0	2.0	117.0	6.0	1.0	1.0	3.0	0.0	1.0	2.0	13.0	10.0	21.0	22
